uniform,binominal,poisson,normal,real
0.019829541,508,1024,0.195466998,1315
-0.95468932,501,1020,0.048876409,7000
-0.508913378,504,1002,0.162001708,7000
0.297959569,477,1021,0.060769631,2404
-0.663427636,498,1040,0.098870947,2404
-0.548024609,488,994,0.169069184,2404
0.425742503,501,1029,0.089306702,1299
0.363968038,519,1014,-0.215323429,7000
0.040454573,488,989,0.138549547,2203
-0.504723231,538,1016,-0.131871618,5213
-0.392096388,492,960,0.109625149,5404
0.380642536,503,1025,-0.054110097,5400
0.129279833,528,995,-0.101234719,7000
-0.150964491,515,945,0.016021339,2399
0.569847931,521,1009,0.045520152,5404
0.728572454,494,1008,-0.027237715,2299
0.552682199,493,1069,0.082916292,2404
-0.612297188,482,1021,0.051647393,2299
-0.823994464,533,1026,-0.255906752,2204
0.269216233,502,1013,-0.062879477,1315
-0.636218301,515,999,-0.011211824,2404
-0.303046435,493,990,0.184934478,5213
0.413339149,477,1056,-0.062198941,2303
-0.370199898,499,960,0.046177374,7000
-0.365653058,517,995,-0.029557048,5213
0.459962573,481,1048,0.00076058,7000
-0.308915315,502,1007,0.160434054,7000
-0.682994804,488,1014,-0.049684003,3532
-0.442948553,515,1014,0.270837452,1299
0.967148006,487,1007,0.034068506,2999
0.920085514,487,1072,0.00621692,1315
0.047021017,506,1032,-0.073767099,2404
0.065486402,486,965,-0.059961264,2999
0.117014016,499,1020,-0.058108086,2204
0.605319361,487,974,-0.028255012,5400
-0.163865291,498,1015,0.065705418,2506
0.451097481,523,1016,-0.072454105,1315
0.255061212,507,1014,-0.133595581,3572
-0.943150042,482,982,0.027744203,2308
-0.629693206,478,994,-0.087519314,2299
0.650455835,519,1003,0.050535246,2299
-0.158687608,480,998,0.173989894,5400
-0.533095347,527,1009,0.027104308,2308
-0.765646311,506,1032,0.167234624,7000
0.459344054,494,980,-0.07700511,2404
-0.721762715,518,975,-0.081295665,5401
-0.108765688,502,967,0.005877971,7000
0.893776666,488,1039,-0.054550518,7000
-0.978169664,498,979,-0.087885488,2303
0.261620496,481,995,-0.029567664,7000
-0.08062428,513,1020,-0.139209512,2404
-0.296048536,464,991,-0.043432722,5401
0.42348516,501,1044,-0.057332964,2204
-0.90295399,506,1040,-0.017283598,7000
0.296251823,500,1082,-0.06152007,5307
0.074973403,524,956,0.027095204,2299
0.197366064,508,954,0.027200833,5401
-0.449345215,514,1009,-0.047361428,1299
0.977120164,505,1033,0.193774252,7000
-0.272108599,504,991,-0.143722514,2999
0.283409139,514,974,0.08601231,7000
-0.970810607,567,1012,-0.284730934,7000
-0.183072023,486,965,0.002327987,7000
-0.406666843,509,1016,-0.017039728,2605
0.559779766,485,976,-0.169152272,7000
-0.024377986,478,966,0.140410098,2604
-0.693635521,499,1021,0.047940789,2203
0.048650096,473,1008,-0.024663311,2310
-0.923780731,512,1033,0.048748482,7000
-0.566828056,511,1023,0.012328961,2604
0.474051232,476,981,0.021760563,2305
0.352925772,508,1029,0.016182242,2605
0.474104325,506,995,-0.082670955,2604
-0.1817225,506,1037,-0.18490501,7000
-0.791486323,495,983,0.127066456,7000
0.197934864,492,981,0.085844093,2604
0.112530154,501,1000,-0.018015999,2404
-0.663874858,506,1061,-0.082526917,7000
0.814812651,505,983,0.196497299,5307
0.009360713,511,966,-0.091589821,1313
-0.953307241,497,980,-0.040724034,3572
0.154845387,502,1014,-0.113454591,7000
-0.213492814,515,986,-0.135291267,7000
-0.116453026,530,1006,-0.148889847,2799
0.996251267,481,1080,0.091689836,7000
-0.94291059,509,939,-0.200975199,7000
-0.506939556,483,1026,0.060938399,7000
0.298154499,516,1052,-0.151179175,7000
-0.250640596,511,1000,0.171738304,7000
-0.031642856,509,1036,-0.025582929,2204
0.168541088,486,951,0.085396627,2999
-0.273065319,495,986,-0.157622986,2204
-0.826171738,503,1012,-0.09047686,3599
-0.492489171,496,997,0.005223392,7000
0.603933159,501,968,-0.08443767,7000
-0.097242739,487,994,0.009849457,2303
-0.19859124,486,968,0.102348086,7000
-0.039576418,512,945,-0.169337148,3599
-0.490913425,496,955,0.051085518,7000
0.412068816,524,1002,0.137692324,7000
-0.004691181,481,987,-0.181045026,7000
0.621713577,508,1010,0.021199457,7000
0.806560879,511,1001,-0.035708094,2404
-0.473955447,492,959,0.033641823,2399
-0.315467425,528,1009,0.053183276,2605
0.421358428,483,1002,-0.166030124,7000
0.088387867,508,1028,0.170133773,2604
0.927013997,497,1007,-0.086113289,5309
-0.660045748,489,1012,0.034463138,2203
0.637637407,494,980,0.017965006,7299
-0.595183522,500,1040,-0.019746743,7000
0.059097249,504,995,0.098885384,7000
0.441442499,490,1040,-0.031780019,3599
-0.352902859,522,943,-0.217496489,2299
0.84475738,525,947,0.020789144,2604
0.274970149,496,1010,0.017950142,7000
-0.882095284,494,1064,-0.026326815,1602
0.436448141,514,1012,0.019954276,7000
-0.535500765,517,984,-0.169005232,2404
-0.83129317,492,967,0.059291652,2605
0.920578211,497,997,0.03781734,5401
-0.025032438,529,1019,-0.082352262,2404
0.641301271,528,1037,-0.114790322,2303
-0.535134279,486,1005,-0.117107511,7000
0.881587303,502,1033,0.051873475,7000
-0.467299831,504,941,0.118736895,7000
0.448103532,502,1003,-0.113560989,2308
-0.988501847,499,984,-0.068723339,7000
0.869395244,489,1012,0.008814542,2204
-0.547222565,507,994,-0.050042721,2303
-0.883312909,527,1028,-0.001516375,2308
0.697450738,475,1033,-0.011422395,7000
0.592951566,519,1044,0.093408265,7000
0.575288112,485,975,0.084829966,5400
-0.518068411,511,1025,0.086860266,2404
-0.696618793,499,1046,-0.061188397,3599
-0.622030227,486,1050,-0.003532768,5400
0.740299639,476,975,0.036026157,2404
-0.282885979,497,1016,-0.135157529,2399
0.496984231,512,1000,0.082349241,2204
0.531244891,501,967,-0.011879757,7000
0.732098292,495,999,0.058592979,999
-0.068821749,521,1002,-0.156125107,5400
0.066828775,485,965,-0.040355027,5401
0.975166845,514,988,-0.029166552,5404
0.729611442,494,996,-0.120953448,1315
0.180165034,472,981,0.039363038,7000
-0.817323791,516,953,-0.067319507,2999
-0.474641107,505,1037,-0.050753311,2999
0.917463694,496,1019,0.010584215,5400
0.051709203,485,1002,-0.011518888,7000
0.609520667,510,999,-0.037754935,2303
0.304090217,501,1046,0.127490767,1299
-0.142296756,530,960,0.000767925,4902
-0.553804501,499,918,0.112063347,7000
0.05904695,488,1001,0.025480001,7000
0.583552907,507,949,-0.087255783,2404
-0.464696073,479,1061,-0.053152202,2299
-0.283384213,479,1061,0.027550526,2308
-0.061347626,494,1063,0.035845636,7000
0.659400989,528,994,-0.053585785,2299
0.136395984,521,1004,0.057420856,2308
-0.153809847,465,984,-0.149734669,2404
0.564333366,501,1011,0.119693248,2299
0.56290119,492,974,-0.082241715,2299
0.991039221,503,1007,0.067580023,7000
-0.692737511,509,977,0.095039701,2204
0.608207639,484,984,0.044072578,7000
-0.413142281,511,1007,-0.006269152,7000
0.507632894,515,1040,0.033084975,7000
-0.700800873,487,1005,-0.016222032,2404
-0.026050126,499,992,0.094352313,2308
0.460231479,504,1004,0.084039379,5401
0.687280579,473,1003,-0.170017414,5401
0.315853912,510,993,0.007901132,5212
0.197337707,505,1005,-0.0837389,5401
-0.949356888,477,988,0.046848571,2404
-0.928089896,476,1003,-0.067625445,2404
-0.097191199,478,956,-0.024572338,3599
-0.609043683,472,990,-0.198255478,5401
0.49015228,483,1020,0.064407708,5401
-0.628331641,500,994,-0.216501237,2299
-0.457658322,522,975,0.189010391,2299
0.140247563,501,978,0.093473321,2999
0.923112133,507,1007,0.129515785,1315
0.935270765,502,983,0.130552636,7000
-0.335814269,491,1007,-0.058803153,2404
0.438223894,505,1025,-0.067480563,3599
-0.597897146,517,1017,-0.09855637,2404
-0.745314666,518,984,-0.194781835,1315
0.101135179,538,952,0.031270197,1315
0.873010633,521,997,0.07671825,7000
-0.113085961,509,1012,0.022049462,1313
0.274435123,525,1004,0.075176652,2303
0.704813797,504,963,0.019333117,2404
0.881425441,505,945,0.043805879,5401
0.323826117,507,998,0.059227014,2404
-0.995801909,501,976,0.019661745,2404
0.356045532,514,1027,-0.003739237,7000
0.793399983,486,963,-0.071818091,7000
0.604425148,495,1018,0.117988125,2299
0.70840708,492,945,0.033003494,2299
0.68405629,496,957,-0.032622843,7000
0.171695849,518,941,-0.015788743,2304
0.638211245,511,1007,-0.05458568,2204
0.768957853,514,989,-0.06624562,2999
-0.641855957,512,1008,-0.014677535,2999
0.855152089,528,1029,0.123816689,2304
-0.418491932,517,944,0.080775299,2999
-0.137431193,488,1056,-0.092553948,2299
0.53560306,516,1015,-0.100720028,2309
0.340583283,486,945,-0.022402908,2604
0.075609162,523,1027,-0.124637899,3599
0.947767893,523,978,-0.126734441,2204
0.988988512,483,972,0.098397116,7000
-0.948178942,493,996,0.004459418,2204
-0.655820647,475,994,0.060093428,2304
-0.492442555,499,1020,0.040707141,2803
-0.243496676,505,945,-0.076986057,3562
-0.489530415,495,1005,-0.10768379,5400
-0.916298975,479,999,-0.068237635,7000
-0.6118324,517,1026,-0.208775132,2999
0.002493542,503,1012,-0.062490829,2203
-0.014157389,497,1020,-0.060055104,2299
-0.462190727,487,994,0.061627057,7000
0.949239409,490,945,-0.071473977,7000
0.56745533,497,1033,0.060179186,7000
0.826884389,501,1020,0.040727242,1315
-0.625381176,491,995,-0.00697293,2404
-0.546574565,514,984,0.143012748,2299
-0.859479816,474,1027,0.017676147,3599
0.064336075,483,978,0.106708985,2399
0.881501325,534,998,-0.162421624,3699
-0.803965142,482,964,0.02021088,2999
0.523702451,514,1004,-0.059890769,5400
-0.33597314,513,995,0.091846387,2404
-0.268756613,513,961,0.012179252,3532
0.655192038,480,980,-0.010830971,7000
-0.555595582,508,985,0.15768561,2404
-0.046672062,504,983,0.060667451,3699
-0.767989448,520,1041,-0.049969835,1313
-0.203045994,512,1011,0.125982514,2299
-0.49686037,498,962,-0.101467776,7000
0.424848757,485,1009,-0.143303552,7000
0.550232516,490,949,-0.025066563,7000
0.921515777,492,981,-0.059951675,5401
0.372549679,496,961,0.047635579,2404
-0.525173908,514,950,-0.010209117,5400
0.96301672,481,979,-0.009233743,7000
-0.862561292,495,1056,0.03265432,5401
-0.884137533,500,1008,-0.123394636,7000
-0.951352785,491,1054,0.009443099,2310
-0.57061262,518,943,-0.037486403,7000
-0.871961899,462,1003,-0.122725202,3532
0.472078243,513,1010,-0.139057188,7000
0.729617842,486,1014,0.005183896,2404
-0.889205314,546,1025,0.061736225,2404
-0.976764462,513,1004,-0.055348171,2604
-0.984693405,477,1000,0.07378739,1315
0.339759658,520,966,-0.109731566,2299
0.855074231,504,1031,0.044284245,2303
-0.241211645,480,1005,-0.044938462,5401
0.142334998,505,989,0.103450715,5401
-0.836205718,489,985,-0.007563776,1212
-0.360709739,481,1037,0.180692791,2299
0.85427906,525,1028,0.030685574,2309
-0.040648414,506,1045,0.036910539,5707
-0.10600924,509,984,-0.085581531,2203
-0.663763151,496,969,-0.22917257,2299
0.732640038,508,955,-0.081041647,3572
-0.407212073,516,986,-0.014150087,5400
0.495130167,488,992,-0.016333345,2399
-0.994922361,536,988,-0.254575018,5400
-0.886463749,464,991,0.177692726,2799
-0.555330564,512,993,0.106651174,2203
-0.314645485,502,1041,-0.083360859,2404
-0.2425372,520,954,0.063905286,1313
0.126419508,518,984,0.067617651,2999
0.926396826,514,1006,-0.10699991,5401
0.548982272,510,985,0.15621279,5400
-0.900316253,511,977,-0.116618566,7399
-0.889994114,488,984,0.069392069,2204
-0.569864236,518,998,-0.00345995,7000
0.868991965,512,990,0.227722621,2204
0.312906376,488,1017,0.037946683,7000
0.982676231,489,1044,0.129516536,2404
0.131627793,488,1005,-0.014082773,3605
-0.811670003,511,1013,-0.12462208,2404
0.054494612,532,960,-0.046191977,7000
0.093357136,477,1025,-0.018861149,2299
-0.932789406,544,949,-0.181081208,7000
-0.845810954,511,964,0.020598379,2299
0.506280263,480,984,0.046960694,2308
0.76817165,475,977,0.099172233,2303
-0.703772156,492,940,-0.111962662,3599
-0.636228672,463,1059,-0.044154705,2404
-0.675047683,498,956,-0.004490304,7000
0.260935915,478,1036,0.022697238,7000
-0.084431915,493,1031,-0.101049438,5400
-0.458483413,515,942,0.07863976,2404
0.597520528,496,965,0.028818918,2204
0.1086286,505,973,0.004652709,2299
-0.788575738,503,1007,-0.0590972,7000
-0.402911667,518,973,0.034724258,2308
-0.980198284,477,992,0.10926754,7000
0.379138515,493,1013,-0.033668847,7000
0.490177172,487,1027,0.013399065,7000
0.340490153,496,990,0.084110622,1315
0.633864727,467,1037,0.098181799,5400
-0.653945241,518,986,-0.007373325,1299
-0.719398112,468,975,-0.042228585,7000
0.402846257,508,992,-0.141943593,2404
0.926430615,496,1036,0.132027801,2404
0.72132757,507,984,0.081349239,7000
-0.275223051,518,1052,0.058818373,7000
0.105854575,504,1002,0.071013078,4803
-0.079738573,485,1036,-0.075658643,7000
-0.65611937,499,1014,-0.064878588,2299
-0.52910776,510,979,-0.010520349,2404
0.784480266,501,1005,0.142536137,2999
0.588214833,499,1017,0.002095817,2404
-0.686646646,494,1029,0.048068527,2299
-0.554309181,494,987,0.057381222,1299
-0.523832477,506,1031,-0.094748429,1299
0.387525984,525,979,0.072535974,1315
0.546812162,509,1011,0.008101964,2404
0.161621285,496,955,0.088741425,2404
-0.078305565,482,977,0.022884135,7000
0.674557783,484,973,-0.032055184,7000
-0.949988249,509,1013,0.098616805,1299
0.497452598,462,1042,-0.120603031,1299
-0.008914335,520,1008,0.10988235,7000
-0.815086943,490,993,-0.214387444,2404
0.472123206,500,952,-0.001008182,2404
0.632177401,488,987,0.000734759,7000
0.158936028,485,1018,-0.205725546,7000
0.075449449,486,983,-0.067730673,7000
-0.571768752,508,1073,0.051786492,5400
0.922669555,508,984,0.147640871,2299
-0.786211224,536,1009,-0.039646684,2305
0.687330851,491,914,0.062578217,3599
-0.644260025,495,975,-0.010756732,2404
-0.245212875,490,1025,0.024371388,3532
0.830890806,479,1004,-0.043860073,2308
0.809280792,492,976,0.078837858,2299
-0.111285541,504,981,-0.034447812,1315
-0.689313388,516,1042,-0.021437363,3572
0.646282503,477,997,0.062973792,7000
0.825103581,477,982,-0.003664254,2299
0.612201771,497,1043,-0.146287987,2604
0.965138022,496,982,0.077163093,2404
-0.152718097,487,1011,-0.022412908,2299
-0.769590377,504,1023,0.056211824,2307
0.744812007,485,991,0.012739213,2307
-0.8063402,508,1006,-0.011833242,2307
-0.508498495,504,973,0.119949426,2299
-0.633812526,499,993,0.188267466,2299
-0.799229824,505,1079,0.01859375,2308
-0.701796648,518,990,0.013656076,2604
0.817950029,521,980,0.10184682,5401
-0.786249452,494,1051,0.173931279,7000
-0.37748481,517,1065,0.172505606,1299
0.081985219,499,984,0.011985743,1315
0.86059284,533,980,-0.177392264,2404
0.535421842,516,965,0.060722327,5299
-0.446698224,517,1025,0.127409163,2999
-0.909033997,499,1007,-0.022747136,2404
-0.450355953,525,1000,-0.272217874,7000
0.920181165,488,1021,-0.063910831,2305
0.915995166,504,1048,0.031350573,2404
-0.643372066,494,956,-0.008749709,2203
-0.927703839,524,997,-0.127414498,2299
-0.532960812,509,970,-0.028405209,3599
-0.794703674,519,1033,0.019300029,2299
-0.429627973,521,943,0.133860392,2999
0.967828064,524,988,-0.122304881,7000
0.035530299,500,1047,0.129222921,1299
0.687355277,479,1013,-0.098949429,2404
-0.984329396,498,1004,0.090147319,2999
-0.83372244,512,993,-0.019687457,2303
0.948195532,505,1027,-0.052273045,7000
-0.176820597,512,1020,0.110095836,999
0.811918954,480,948,0.122739174,7000
-0.795016016,514,1000,-0.064125361,7000
-0.025065261,508,952,0.056634777,2404
0.572515178,490,959,-0.004992568,7000
-0.816378601,491,998,0.10841421,2204
-0.78398049,483,1000,-0.125540275,2803
-0.329977846,489,1060,0.079067285,7000
0.961498434,489,961,0.202883764,7000
-0.634551062,501,978,-0.004174783,2204
0.505357342,507,931,0.182291386,2999
0.112819944,504,972,-0.071385015,2404
-0.042477262,527,995,0.000473642,2404
0.514936933,498,963,0.099225601,7000
0.057608718,516,968,0.004430401,2299
-0.323148171,494,1001,0.043154393,5400
0.37767602,523,1012,0.027897795,2203
0.254403057,502,1003,-0.02268446,2605
-0.615738256,501,965,-0.090963713,2399
0.063791769,529,1005,-0.100356416,2404
-0.780982947,489,1030,-0.21398869,3562
0.508724656,519,987,0.06386177,5400
-0.664488174,501,993,-0.0640861,7000
0.216292364,497,986,-0.060673298,5400
0.81524383,481,1018,-0.127148502,7000
-0.174409552,506,1019,-0.006513059,7000
0.104337589,518,986,-0.012354062,7000
0.600127369,492,1046,-0.161573287,2404
-0.096963245,514,1025,-0.159701244,2404
0.313712289,496,948,0.076224642,2999
0.489363786,492,976,-0.073351554,7000
0.727864372,501,1008,0.05082247,2404
-0.005716947,495,983,-0.15550783,7000
-0.788360334,481,951,0.070460042,2404
-0.9799142,511,998,-0.095134019,2404
0.317223086,493,964,0.058643298,5401
0.9254724,505,1008,0.038330388,2305
-0.826405722,489,946,0.135239603,2604
0.643496546,521,972,0.044294261,2605
0.254498958,512,1008,-0.168392783,2604
-0.897702248,496,1061,0.138127748,7000
0.32421592,517,1017,0.013486181,7000
0.442366164,510,1013,-0.113904564,2204
-0.057908726,476,977,0.113769689,7399
0.057483379,494,1025,-0.017062546,7000
0.901558842,519,1008,0.065705221,2303
-0.276292385,518,1001,-0.044598376,7000
-0.019353811,503,997,0.228632685,7000
-0.473308751,497,1025,0.009360334,2404
0.775745946,524,965,-0.103363502,2404
0.071115319,490,982,0.061665577,7000
0.793240651,496,979,0.006912092,7000
-0.800000173,499,1004,0.018695531,2308
-0.261076936,505,1004,0.060429849,7000
0.377045345,493,982,0.091724325,7000
-0.673857951,479,1031,-0.198618473,1602
-0.36546275,491,1002,-0.141623493,7000
-0.309021635,483,913,-0.129996364,5400
-0.23705688,460,1032,-0.006770695,7000
-0.905525189,494,1015,0.033267206,2999
0.312239825,510,975,-0.180456555,2404
-0.967087461,520,1027,-0.093945352,2404
-0.379962762,490,1020,-0.009417044,2399
-0.012888334,487,1005,-0.046778887,7399
0.660902327,482,996,-0.050367183,7000
0.29356844,463,973,0.04032574,2204
-0.422996569,510,987,-0.072904351,2999
0.622075643,500,997,0.012240341,7000
-0.294913661,505,969,0.151194092,5400
-0.53977544,482,1006,0.008731093,7000
-0.185702251,485,968,0.220983974,2404
0.711366274,510,957,-0.057401976,2204
0.300116165,488,964,0.11066387,2506
0.496712364,468,1050,0.023379657,7000
-0.811011181,513,1028,0.02343922,2506
0.726559984,481,978,0.0473157,2503
0.476983695,473,1048,0.107301488,5400
0.898362418,479,983,-0.079586462,5400
0.665585354,477,1066,0.038020268,2204
-0.245437128,521,984,0.200462587,7000
0.508544854,519,993,0.020108943,2404
0.579455964,504,997,0.045990451,2204
-0.82359244,520,940,-0.008407907,7000
-0.504731721,510,1029,0.066350712,7000
0.304757117,491,995,0.086550298,7000
0.212251187,487,1006,-0.084446741,7000
-0.424615191,526,1018,-0.105935422,2299
0.542959131,517,1027,-0.076543861,7000
-0.014022659,494,950,0.106878153,2399
-0.34673637,510,996,0.043346525,7000
0.673766098,488,1054,0.016666118,3699
-0.863232622,483,933,0.016262469,2308
0.55341559,510,1006,-0.009128376,2204
0.920015816,505,1056,0.0114118,5400
0.499382891,518,1031,-0.059559043,5400
0.158352201,473,1008,0.028102715,7000
0.853415392,483,962,-0.017115987,7000
-0.84569843,482,975,-0.052833811,5400
-0.73280749,481,1002,0.139652262,2204
-0.566654577,473,1000,0.107639231,1313
-0.756221216,503,1039,-0.136572149,2303
0.868177563,490,959,-0.154591011,2404
0.396783132,503,1058,-0.007930883,7000
-0.758191328,517,960,0.138617227,2204
0.139509328,488,932,-0.269830385,2204
0.018591277,529,969,-0.106425249,7000
-0.824886813,516,966,-0.083780487,7000
-0.294210241,515,1005,-0.078569532,7000
0.541989439,521,1050,-0.011931976,7000
-0.510391461,515,1044,0.09448681,3699
0.347966956,504,952,-0.073588912,7000
0.428439959,506,1008,-0.062961373,2604
0.451469877,515,1016,-0.043117053,7000
-0.361123007,499,988,0.138856317,1315
0.219640972,487,968,-0.055417075,7000
-0.294266739,505,991,-0.12251738,7000
-0.369589311,505,1035,-0.039242572,7000
0.478821637,504,951,-0.049646629,2803
0.713623068,528,1031,0.150356651,2303
-0.016301832,504,987,-0.003252339,2204
-0.942677094,479,996,0.25238449,2399
-0.015480714,495,989,-0.002051366,3562
0.374278038,506,1029,-0.114990271,7000
-0.260102099,482,1023,0.005466329,2299
-0.017179683,497,1036,-0.148024752,7000
0.017608867,508,987,-0.009484497,7000
0.887070935,483,1004,0.080531286,2309
0.723689492,495,1042,-0.02851279,7000
-0.777636829,546,1021,-0.187262108,5401
0.29563541,478,974,0.237822322,7000
-0.360859963,521,971,0.158788384,7000
0.529722397,455,1004,0.12994533,5400
0.712069144,484,999,0.070287757,7000
-0.369259357,508,996,0.138013808,7000
-0.967572697,490,983,-0.069312679,3562
0.948359339,499,1029,-0.118599491,7000
0.477828428,504,937,0.009732261,2204
-0.589971771,508,1001,-0.111531909,5404
0.152620058,493,996,-0.094270373,3572
0.13524157,507,998,0.019359085,2404
0.756390814,485,965,-0.198574105,5401
-0.796384201,519,966,-0.082678761,2299
0.968434399,472,1015,0.054652226,2203
-0.5568041,504,1043,0.165925029,2303
-0.213011038,495,955,-0.032880231,7000
0.083681101,507,991,-0.002463404,7000
-0.622156104,509,1053,-0.034395554,7000
-0.677578048,482,1006,0.040585151,2604
-0.490058702,496,981,0.007787748,7000
-0.671316838,495,1003,0.109773795,2404
0.565617184,504,1076,0.073268336,2404
0.738690184,505,1002,0.06628763,2299
0.265728803,514,1043,0.018528808,1299
-0.624952385,513,969,-0.011212896,2303
0.462038327,485,1001,0.013978076,2303
-0.314578054,499,1013,0.118574978,7000
-0.890363425,511,1025,-0.046656708,1602
0.824707736,506,1011,-0.039906739,2299
-0.693288356,499,996,-0.109167857,2299
0.582958859,537,962,0.179353628,2308
0.556406863,490,1049,-0.084825767,7000
-0.114691004,510,1069,-0.111929211,2303
0.638079366,505,1043,-0.156685361,2404
0.493551657,508,1000,0.209779205,2204
-0.364706907,495,1061,0.315578079,2999
-0.949510843,514,1019,-0.13755678,7000
0.996689286,463,1015,0.132257898,2299
0.147733292,498,951,0.033484444,1299
0.70676733,500,1019,0.013185528,1299
-0.01218535,508,1046,-0.015661531,2404
0.041108825,523,992,0.026733922,7000
-0.395089466,503,990,0.019389605,2204
0.753897067,511,950,-0.037160508,2203
0.80645467,512,1015,-0.028061037,7000
-0.821435341,506,999,0.1083959,3562
-0.414210902,497,989,0.077686481,1315
-0.800446895,515,1017,0.012802367,7000
0.389691689,503,952,0.052798015,2803
-0.242574,524,1015,0.04777989,2404
0.936888961,528,954,0.112986208,7000
0.099095506,529,941,0.038300843,2308
0.446415542,525,995,0.084399843,2501
0.837789905,507,971,0.051879083,7000
-0.15619286,504,967,0.195255137,3532
0.31926482,484,1010,-0.139622876,7000
-0.826352552,488,1016,0.010746473,5400
-0.161740227,502,991,0.011752016,2204
0.777703892,496,979,0.002067149,2404
-0.800822919,479,1006,-0.045025797,7000
0.037178113,500,991,0.005165828,2404
0.444650663,525,1081,0.024400788,7000
-0.539011219,497,961,0.09609705,2204
0.173586441,508,977,-0.072997514,2404
0.055775441,494,1031,0.090560923,7000
0.903864172,487,972,-0.208649538,2308
-0.578097737,507,1009,-0.180823868,7000
-0.602959844,509,934,-0.162352806,2399
0.116079719,513,1052,-0.046414625,2404
-0.932140691,496,958,0.010972352,2299
0.195536809,525,934,-0.102619598,2299
0.784046471,476,1004,-0.157020272,7000
-0.494943436,475,1022,0.141407318,2404
0.481686372,495,898,-0.026696999,2404
0.976097112,490,1026,0.143881179,2204
-0.008112169,522,1016,-0.209349185,7000
-0.908884836,477,973,0.1037757,7000
0.791992575,500,1041,-0.179507184,2404
-0.844441331,487,961,-0.080439088,2404
0.297122901,503,993,-0.032023451,2404
0.047669106,485,997,0.176445366,7000
0.93484173,488,985,0.094054092,1315
-0.999148374,515,1005,-0.180264885,7000
-0.145227245,514,983,0.033042574,7000
-0.670390006,492,991,0.007612987,7000
0.799271319,498,970,0.20282849,1315
0.36557552,501,984,-0.093856955,7000
0.895703051,488,992,0.045924013,2305
-0.315335483,511,1020,-0.035942024,2501
-0.806112075,517,1000,0.072705176,2305
0.77364785,488,1033,0.092703942,7000
-0.919373399,506,940,-0.02156278,7000
0.937108481,506,1000,-0.106138239,7000
0.563904267,523,1007,-0.163267245,2404
-0.269077605,520,971,0.060371259,2299
-0.783506064,489,1061,0.083718194,2999
0.855281972,498,988,0.203896303,2299
-0.28781661,527,965,-0.099737537,2999
0.712729381,495,969,-0.011459936,2999
-0.847479535,462,1003,-0.011251693,2299
-0.256065981,481,1047,-0.004025367,7000
-0.110871724,463,1054,0.102330284,2399
0.640821468,513,1027,0.028400409,2999
0.741173369,512,1022,0.109858857,2299
-0.592335251,499,940,0.064551349,7000
-0.610798823,536,988,0.072922342,2404
-0.425070464,479,1046,0.149669641,2204
0.609159392,482,1004,-0.12815591,7000
-0.226030759,503,1033,0.185413896,7000
0.400944827,509,1013,-0.076572972,7000
-0.323936341,541,991,0.052793383,2404
-0.298376668,514,972,-0.126139515,7000
-0.655525004,499,971,0.106388213,7000
-0.956026232,519,1034,-0.09618449,2204
0.840892395,497,1014,0.054657315,2999
0.104338206,509,979,0.055048291,2299
-0.910948252,467,1004,-0.243590979,1602
-0.501975116,508,1036,0.122623137,2999
0.685925817,470,1015,0.051864199,5404
0.230461837,494,966,0.089729331,7000
-0.832133532,489,995,-0.129894048,2203
0.55138584,473,980,0.107499135,2299
-0.457404819,501,983,-0.089456871,1315
